Order ID,Segment,Payment Mode,Ship Mode,Category,Sub-Category,Quantity,Sales
CA-2019-160304,Corporate,Online,Standard Class,Furniture,Bookcases,1,73.94
CA-2019-160304,Corporate,Online,Standard Class,Furniture,Bookcases,3,173.94
CA-2019-160304,Corporate,Cards,Standard Class,Technology,Phones,2,231.98
CA-2019-125206,Consumer,Online,First Class,Office Supplies,Storage,2,114.46
US-2019-116365,Corporate,Online,Standard Class,Technology,Accessories,2,30.08
US-2019-116365,Corporate,Online,Standard Class,Technology,Accessories,3,165.6
US-2019-116365,Corporate,Cards,Standard Class,Technology,Phones,5,180.96
CA-2019-105207,Corporate,COD,Standard Class,Furniture,Tables,7,1592.85
CA-2019-105207,Corporate,COD,Standard Class,Office Supplies,Binders,2,11.88
US-2019-164630,Corporate,Online,Standard Class,Technology,Copiers,4,959.968
CA-2019-158211,Corporate,Online,Standard Class,Office Supplies,Art,1,4.672
CA-2019-158211,Corporate,Online,Standard Class,Office Supplies,Binders,6,104.58
CA-2019-134474,Corporate,COD,Second Class,Technology,Accessories,6,191.472
CA-2019-134474,Corporate,Online,Second Class,Office Supplies,Art,2,5.248
CA-2019-134474,Corporate,COD,Second Class,Technology,Phones,2,59.184
CA-2019-101938,Home Office,COD,Standard Class,Office Supplies,Art,1,34.58
CA-2019-158806,Consumer,COD,Standard Class,Furniture,Furnishings,3,23.076
CA-2019-158806,Consumer,Cards,Standard Class,Office Supplies,Paper,5,25.92
US-2019-100461,Corporate,Online,Standard Class,Furniture,Bookcases,6,1565.88
US-2019-100461,Corporate,Cards,Standard Class,Office Supplies,Binders,7,106.05
US-2019-137295,Consumer,Cards,Standard Class,Office Supplies,Binders,7,30.828
US-2019-137295,Consumer,COD,Standard Class,Office Supplies,Art,3,47.616
US-2019-137295,Consumer,COD,Standard Class,Technology,Phones,2,108.784
CA-2019-108882,Corporate,COD,Standard Class,Technology,Accessories,5,349.95
CA-2019-108882,Corporate,Cards,Standard Class,Technology,Phones,9,377.928
CA-2019-126543,Corporate,Cards,Second Class,Furniture,Furnishings,2,15.168
CA-2019-116547,Corporate,Cards,Standard Class,Furniture,Furnishings,4,79.92
CA-2019-116547,Corporate,COD,Standard Class,Technology,Accessories,2,69.98
CA-2019-163937,Consumer,Cards,Second Class,Furniture,Furnishings,5,24.85
CA-2019-126529,Home Office,Online,Second Class,Office Supplies,Paper,3,15.552
CA-2019-126529,Home Office,Cards,Second Class,Office Supplies,Paper,3,63.312
CA-2019-126529,Home Office,Online,Second Class,Technology,Phones,2,15.588
CA-2019-141887,Home Office,Online,Standard Class,Furniture,Furnishings,14,54.992
CA-2019-133368,Consumer,Cards,Standard Class,Office Supplies,Paper,2,89.568
CA-2019-133368,Consumer,Online,Standard Class,Furniture,Furnishings,8,315.776
CA-2019-152072,Home Office,Cards,Standard Class,Office Supplies,Envelopes,2,52.34
CA-2019-152072,Home Office,COD,Standard Class,Office Supplies,Art,2,4.66
CA-2019-152072,Home Office,Cards,Standard Class,Technology,Accessories,3,254.97
CA-2019-140746,Consumer,COD,Same Day,Furniture,Tables,1,181.797
CA-2019-137848,Consumer,Online,Standard Class,Office Supplies,Envelopes,4,16.52
CA-2019-137848,Consumer,COD,Standard Class,Office Supplies,Paper,9,60.12
CA-2019-137848,Consumer,Cards,Standard Class,Office Supplies,Binders,3,49.536
CA-2019-166912,Home Office,Online,First Class,Office Supplies,Paper,2,81.98
CA-2019-121755,Consumer,Cards,Second Class,Office Supplies,Binders,2,11.648
CA-2019-121755,Consumer,COD,Second Class,Technology,Accessories,3,90.57
CA-2019-116736,Home Office,COD,Standard Class,Furniture,Furnishings,3,322.59
CA-2019-116736,Home Office,Online,Standard Class,Technology,Accessories,1,29.99
CA-2019-116736,Home Office,Online,Standard Class,Technology,Accessories,3,371.97
CA-2019-106558,Corporate,Online,Standard Class,Technology,Accessories,4,316.0
US-2019-167339,Consumer,COD,Second Class,Furniture,Chairs,2,153.568
US-2019-167339,Consumer,COD,Second Class,Furniture,Chairs,7,1013.488
CA-2019-111010,Consumer,COD,Standard Class,Office Supplies,Fasteners,6,7.56
US-2019-135923,Consumer,COD,Standard Class,Furniture,Furnishings,8,14.272
US-2019-135923,Consumer,COD,Standard Class,Furniture,Bookcases,4,451.136
US-2019-135923,Consumer,COD,Standard Class,Office Supplies,Appliances,4,64.864
CA-2019-138079,Corporate,Online,Standard Class,Furniture,Furnishings,5,109.9
CA-2019-146318,Consumer,Online,Standard Class,Office Supplies,Paper,2,12.96
CA-2019-125850,Consumer,Online,Standard Class,Office Supplies,Labels,3,44.4
CA-2019-125850,Consumer,Online,Standard Class,Office Supplies,Labels,5,20.65
CA-2019-148208,Home Office,Online,Standard Class,Technology,Phones,4,110.376
CA-2019-148208,Home Office,Cards,Standard Class,Technology,Accessories,3,55.176
